title,console,date,year,month,day
Life is Strange 2: Episode 1,1,2018-09-27,2018,9,27
Pix the Cat,0,2014-10-07,2014,10,7
Pillars of Eternity II Deadfire Ultimate Edition,1,2020-01-28,2020,1,28
Wolfenstein II: The New Colossus,1,2017-11-23,2017,11,23
Bomber Crew: Complete Edition,0,2017-10-19,2017,10,19
Red Faction,0,2017-08-28,2017,8,28
ACA NEOGEO BASEBALL STARS PROFESSIONAL,1,2018-05-17,2018,5,17
Sword & Fairy 6,0,2019-04-02,2019,4,2
ATV Drift & Tricks,1,2017-11-14,2017,11,14
VA-11 HALL-A: Cyberpunk Bartender Action,0,2019-05-02,2019,5,2
void tRrLM(); //Void Terrarium,0,2020-07-14,2020,7,14
Siralim 3,0,2019-03-29,2019,3,29
RollerCoaster Legends II: Thor's Hammer,0,2018-06-05,2018,6,5
Hyper Sentinel,1,2018-05-11,2018,5,11
Apex Legends - Octane Edition,1,2020-02-18,2020,2,18
"Slice, Dice & Rice",0,2018-02-14,2018,2,14
EVEREST VR,0,2016-08-02,2016,8,2
Call of Duty®: Black Ops 4,1,2010-11-09,2010,11,9
Costume Quest 2,0,2014-10-29,2014,10,29
Truck Driver,1,2013-10-01,2013,10,1
PGA TOUR 2K21,1,2020-08-21,2020,8,21
The Long Dark,1,2017-08-01,2017,8,1
Blaster Master Zero,0,2021-07-29,2021,7,29
NORTH,1,2016-04-27,2016,4,27
The Dark Pictures Anthology: Man of Medan,1,2019-08-30,2019,8,30
Remnant: From the Ashes,1,2019-08-20,2019,8,20
Accounting+,0,2016-10-18,2016,10,18
Sky Force Reloaded,0,2017-11-28,2017,11,28
Power Rangers: Battle for the Grid,0,2019-04-02,2019,4,2
Hopalong: The Badlands,0,2017-04-03,2017,4,3
Hellmut - The Badass From Hell TM,0,2018-03-13,2018,3,13
Dusk Diver,0,2019-10-29,2019,10,29
20XX,0,2018-07-10,2018,7,10
"Walden, a game",0,2021-07-02,2021,7,2
The Raven Remastered,1,2018-03-13,2018,3,13
Concrete Genie,0,2019-10-09,2019,10,9
Midnight Deluxe,0,2018-10-24,2018,10,24
Darkest Dungeon,1,2018-10-11,2018,10,11
Nine Parchments,1,2018-03-07,2018,3,7
The Spectrum Retreat,0,2018-07-13,2018,7,13
MARS ODYSSEY,0,2019-12-10,2019,12,10
Omega Strike ,1,2018-06-15,2018,6,15
Stellaris: Console Edition,1,2019-02-26,2019,2,26
Stunt Kite Masters VR,0,2017-05-29,2017,5,29
The Jackbox Party Pack 4,0,2017-10-17,2017,10,17
TerraTech,1,2018-08-14,2018,8,14
Dead Cells: Prisoner's Edition,0,2018-08-07,2018,8,7
Twin Robots,0,2017-10-10,2017,10,10
Street Power Football,1,2020-08-25,2020,8,25
Umihara Kawase Fresh!,0,2020-05-15,2020,5,15
The Sims™ 4 Snowy Escape,1,2020-11-13,2020,11,13
Scribblenauts Unlimited,1,2012-11-13,2012,11,13
Super Destronaut DX,1,2018-07-27,2018,7,27
Lost Sphear,0,2017-10-12,2017,10,12
Serious Sam Collection,1,2020-11-17,2020,11,17
All-Star Fruit Racing,1,2018-08-21,2018,8,21
Madden NFL 21,1,2020-08-28,2020,8,28
Wulverblade,0,2018-01-31,2018,1,31
Space Pirate Trainer,0,2018-11-27,2018,11,27
Tales of Vesperia: Definitive Edition,1,2019-01-11,2019,1,11
NEW GUNDAM BREAKER,0,2018-06-21,2018,6,21
Battle Princess Madelyn,0,2019-01-07,2019,1,7
Sid Meier's Civilization VI,1,2019-11-22,2019,11,22
Ultrawings,0,2017-07-20,2017,7,20
Astérix & Obélix XXL 2,1,1993-01-01,1993,1,1
NEKOPARA Vol.1,0,2014-12-29,2014,12,29
Tricky Towers,0,2017-09-15,2017,9,15
ToeJam & Earl: Back in the Groove!,0,2019-03-01,2019,3,1
Boiling Bolt,0,2017-12-05,2017,12,5
Corpse Killer,0,1995-08-25,1995,8,25
Two Point Hospital,1,2020-02-25,2020,2,25
Tony Hawk's Pro Skater 1 and 2,1,2021-03-26,2021,3,26
Marvel's Guardians of the Galaxy: The Telltale Series - Don't Stop Believin',1,2017-11-07,2017,11,7
Catch & Release,0,2018-08-19,2018,8,19
Ghost 1.0,1,2019-07-19,2019,7,19
Chaos on Deponia,1,2017-12-06,2017,12,6
DreamWorks Dragons Dawn of New Riders,1,2019-02-15,2019,2,15
Rad Rodgers,1,2018-02-21,2018,2,21
GALAK-Z: The Void,0,2017-02-23,2017,2,23
Word Search by POWGI,0,2018-08-07,2018,8,7
